,n_meas,sample,acc_prob,acc_pl
0,2,0,0.564047166277453,0.4422693098058983
1,2,1,0.5324049313233841,0.46409171727047893
2,2,2,0.5003440844641286,0.5356183913914403
3,2,3,0.6146153683859641,0.49374959833897375
4,2,4,0.563998758794422,0.47406829558249786
5,2,5,0.5088618341126367,0.44735097366308046
6,4,0,0.6815172577740254,0.4090750563215259
7,4,1,0.6618269499563232,1.253091974347699
8,4,2,0.5879004731651861,0.4848778900780602
9,4,3,0.6815857215995197,0.6113188269730379
10,4,4,0.7164293121261565,0.40452074650109493
11,4,5,0.6857717136311483,0.553403112342888
12,6,0,0.28980639500874783,0.5275077590867586
13,6,1,0.5505899396276074,1.210845255764022
14,6,2,0.646040528256467,0.5906821668025755
15,6,3,0.4035503086067953,0.5115501213743217
16,6,4,0.8019021302744022,0.5160090072825618
17,6,5,0.4272563024651027,1.0496422107726642
18,8,0,0.9075188862222653,0.7324951078829627
19,8,1,0.7322597689472548,0.6457500534850151
20,8,2,0.5343583967824798,0.9817118600833833
21,8,3,0.872401892375494,0.512104559991233
22,8,4,0.7978288430566004,0.6126861964950896
23,8,5,0.5525857354351793,0.5002852284486878
24,10,0,0.4442891910542512,0.6327445623826381
25,10,1,0.37488374865928287,0.5116170455741711
26,10,2,0.5559343007328499,0.5797054447246425
27,10,3,0.5489480760337915,0.576705324841473
28,10,4,0.481352916814656,0.39771314237646627
29,10,5,0.5837845892122818,0.5350103338753303
30,12,0,0.5149099476797032,0.8893744749893189
31,12,1,0.618923151656753,0.5612531561641056
32,12,2,0.5161050774246491,0.5135525846296898
33,12,3,0.4371398284622446,0.46678330035125737
34,12,4,0.39874807441229104,0.5500022066186411
35,12,5,0.5482833710558317,0.4072618186184719
36,14,0,0.3521815868096879,0.8051988308747274
37,14,1,0.36799070143893775,0.6475706781600801
38,14,2,0.7063157228305682,0.6826741980821388
39,14,3,0.524860411793468,1.0072379913663332
40,14,4,0.6155547331218648,0.3858375845177022
41,14,5,0.3028507776488041,0.4666978812840536
42,16,0,0.628925894866861,0.5133763335258884
43,16,1,0.24143808862312527,0.7058315650643779
44,16,2,0.2712372028094391,0.36451723557831156
45,16,3,0.4551420917621402,0.41723861063149775
46,16,4,0.6281293443786079,0.5114540900192408
47,16,5,0.35425471478209264,1.1632429047254693
48,18,0,0.41520381794454086,0.8396209695348152
49,18,1,0.464260135050114,0.5361902593520915
50,18,2,0.3600911395164805,0.3471276435068419
51,18,3,0.4169393399510643,0.607927388014141
52,18,4,0.3903234846359688,0.24493139141431733
53,18,5,0.47418526585108683,0.4952160888635302
54,20,0,0.14043044077433697,0.21153064008870193
55,20,1,0.3950734396441833,0.6252144417529258
56,20,2,0.41794970421062244,0.7962089646247181
57,20,3,0.20371447592981975,0.37104476102582135
58,20,4,0.33322533363768014,0.6170121243570976
59,20,5,0.3306255664431936,0.46552675634283686
60,22,0,0.3771528713869922,0.41260798309387375
61,22,1,0.36159688125121553,0.36185257367120166
62,22,2,0.5070665902517393,0.5737919530426745
63,22,3,0.40352736316549265,0.4712571232956456
64,22,4,0.2699041885800436,0.3941269614457315
65,22,5,0.21637257253803657,0.15917039951899264
66,24,0,0.1138625649165805,0.5168206560136468
67,24,1,0.35905939993810704,0.45837369238941783
68,24,2,0.15390373728311135,0.3541460972103702
69,24,3,0.02663644072455783,0.057683111156378745
70,24,4,0.21383455535614543,0.2380429394347484
71,24,5,0.4242761401482602,0.39775872329030937
72,26,0,0.45311742634957863,0.29530684530647383
73,26,1,0.23495111514404646,0.2493044929140184
74,26,2,0.08219349215872973,0.022887121172247647
75,26,3,0.11514777856680529,0.0488507156455086
76,26,4,0.17723437763574906,0.08118623766106169
77,26,5,0.0962112879612196,0.1361744087990309
78,28,0,0.07923967355964269,0.9224923984240448
79,28,1,0.15586883467790738,0.35747629921839885
80,28,2,0.1330740843462717,0.1568260181863101
81,28,3,0.04286532734630417,0.038892063197657346
82,28,4,0.11715997532342609,0.3152160840211579
83,28,5,0.17259679345471057,0.04320146664461989
84,30,0,0.056814788789029555,0.040801285439775174
85,30,1,0.018142210229488132,0.046093166616797826
86,30,2,0.03584391711946029,0.06815346368726347
87,30,3,0.11277769419582283,0.012681511509725314
88,30,4,0.23411904495630687,0.33546207181762505
89,30,5,0.013582709720103545,0.6812806242407795
90,32,0,0.027861597372774233,0.005720295322805522
91,32,1,0.06086165310398606,0.02172016274736775
92,32,2,0.026507537144946577,0.01547055233164971
93,32,3,0.23205895981945598,0.2618969362384634
94,32,4,0.16039963735764684,0.033530662325782
95,32,5,0.05757972293690181,0.12482280519237053
96,34,0,0.02649402131167256,0.007907634408233208
97,34,1,0.032443450474951625,0.020382372413147817
98,34,2,0.15045149699113175,0.021801543663700833
99,34,3,0.003154499118073693,0.00424405936496691
100,34,4,0.01934802603073107,0.014370708766661357
101,34,5,0.018634792309965457,0.013579692659879248
102,36,0,0.03685671641011405,0.011732948255765695
103,36,1,0.06055646089834322,0.009376170348057086
104,36,2,0.006067853079173932,0.00844852990614579
105,36,3,0.0036721207470297784,0.005625792916360288
106,36,4,0.009566061705527946,0.007245284762806395
107,36,5,0.021965411198410525,0.00539054164981547
108,38,0,0.02141456203353376,0.004758730189718419
109,38,1,0.012266763322764199,0.009965914574653114
110,38,2,0.014983872517635735,0.008346172709623286
111,38,3,0.037372603724040596,0.00451936953244942
112,38,4,0.0035130027603593413,0.004324823125037615
113,38,5,0.009105931285825548,0.007859517874974388
114,40,0,0.002680224592276644,0.006309665472176576
115,40,1,0.003921002936170082,0.003957020884167484
116,40,2,0.0060564349505582505,0.006345121587343233
117,40,3,0.005747496289124373,0.00478340928025097
118,40,4,0.00830703616180284,0.011062372466546308
119,40,5,0.004927400931960068,0.004810751502848015
120,42,0,0.00624646150997676,0.00665225360969155
121,42,1,0.023748852693562365,0.0028359615564147516
122,42,2,0.003817199312564255,0.003534891656917727
123,42,3,0.0063645404540713674,0.007144953851548442
124,42,4,0.004190008249039305,0.003248025679416118
125,42,5,0.005654952991892603,0.0041490945621999705
126,44,0,0.005897699085378348,0.0070932757213223825
127,44,1,0.005208521439418394,0.004602194947094436
128,44,2,0.009324339706163079,0.009001961152450621
129,44,3,0.0029323939320484555,0.0032607494539574
130,44,4,0.008629916031666131,0.006767667807092822
131,44,5,0.004751992859305855,0.004018037840826217
132,46,0,0.003041995185412924,0.0034168623316883306
133,46,1,0.0042614368151198435,0.005188082672438848
134,46,2,0.0021963744323392465,0.0023554377334390883
135,46,3,0.0159693512303847,0.0051415760808334885
136,46,4,0.024247801385025768,0.00227150601288219
137,46,5,0.004020164675348747,0.0036764414742187484
138,48,0,0.003073754194686693,0.0018945788291650576
139,48,1,0.0019006738689797253,0.0018478894703025444
140,48,2,0.002246002445208667,0.0022390457654713307
141,48,3,0.0024607490764519888,0.002634218692066979
142,48,4,0.00302149480402721,0.002640951592540055
143,48,5,0.004191330407547984,0.0038247776499724167
144,50,0,0.0017151615088440875,0.0018569883811563246
145,50,1,0.003084970867934012,0.0028268272652057576
146,50,2,0.0018072551480857659,0.0016382082343578404
147,50,3,0.0030045439352100146,0.0032115720967535706
148,50,4,0.003829210754974147,0.0035517547503412013
149,50,5,0.002858290282556141,0.0030557860082084214
150,52,0,0.0015765223367769602,0.0016713047446058964
151,52,1,0.002333414239402221,0.0026849226454287232
152,52,2,0.0028742615052480365,0.0031402539317426487
153,52,3,0.0021164453288840643,0.002212202852998414
154,52,4,0.0019505729130490687,0.002127738367022289
155,52,5,0.0028465379095362004,0.0020231772018198275
156,54,0,0.002217869779603059,0.001623220735649014
157,54,1,0.0020357587303320365,0.0015256014547696578
158,54,2,0.0036339654318894078,0.0034442297857221697
159,54,3,0.0034839459624965807,0.0034851192698252915
160,54,4,0.0022687287171532992,0.002306528025428764
161,54,5,0.0036989976205776174,0.0037995420169232093
162,56,0,0.002748639868894587,0.0024393628632102347
163,56,1,0.0017250246169625606,0.001840818857217602
