,exps,acc_pl,acc_prob
0,2,0.493766639301154,0.4583445748678681
1,5,0.006134668994835659,0.029350572697103353
2,8,0.004421417003176685,0.019955905346194396
3,11,0.004849385610911651,0.017972133660206672
4,14,0.0025710788379375103,0.0039847632329331065
5,17,0.0019710573496646336,0.0021010640948843497
6,20,0.0014307017962110478,0.0019482790146063043
7,23,0.0014305739951808165,0.0017743312370157628
8,26,0.0014201654265442456,0.00182771257946848
