,n_meas,sample,acc_prob,acc_pl
0,2,0,0.4463836501504657,0.49921898239279716
1,2,1,0.5605295232673442,1.2067714373147995
2,2,2,0.45682741464681653,0.4931747444724469
3,5,0,0.008228662018023645,0.49779877714264953
4,5,1,0.011574358434320692,0.0018017180166640526
5,5,2,0.4352578523806495,0.5079636571934542
6,8,0,0.003999578569711221,0.0026189864195442004
7,8,1,0.003318728412100464,0.0021507834713278373
8,8,2,0.006538755324014238,0.002026981766522209
9,11,0,0.0033034030051657857,0.0020242887324775356
10,11,1,0.004936815385683286,0.004089436174780485
11,11,2,0.004680532402261636,0.0020820879662704593
12,14,0,0.0023880618432065097,0.0019336752872624614
13,14,1,0.0016189495887674158,0.0015191271663502067
14,14,2,0.0026935689030383983,0.0019729281589731407
15,17,0,0.002359472667470366,0.0022026371314047286
16,17,1,0.0013824413247670536,0.0014578209477033289
17,17,2,0.0024895350634504027,0.0020855469410850057
18,20,0,0.0009921919905345055,0.0009279081521478267
19,20,1,0.0017204562402150887,0.0015266860388675116
20,20,2,0.0015010478613841057,0.0014163954952965913
21,23,0,0.0007105256792682074,0.0007670486425823364
22,23,1,0.0023627004371109487,0.0020822616165695083
23,23,2,0.0012186998931503605,0.0011599304802066654
24,26,0,0.0019505265737093278,0.0014278084617629532
25,26,1,0.0016941743956330468,0.001541061364502114
26,26,2,0.0012049331954506034,0.0012318710923047754
