,theta,d,samples,acc_prob,acc_pl
115,0.001,4,5,0.0024317515059404625,0.0010113896273470254
116,0.001,4,6,0.0016317576032626108,0.001455643721192563
117,0.001,4,7,0.002194950689332486,0.001912100753576363
118,0.001,4,8,0.00270195085710195,0.0013924321191687863
119,0.001,4,9,0.0024234824327572587,0.001138219555200958
120,0.001,5,0,0.0033892515681431027,0.0020520427871781417
121,0.001,5,1,0.0030724186721305838,0.0026755606325067622
122,0.001,5,2,0.0019004088072501534,0.009036326036228212
123,0.001,5,3,0.0022250770268898213,0.0012033858036076892
124,0.001,5,4,0.0016528992060009225,0.002268924245662895
125,0.001,5,5,0.0009555980526113523,0.0021848216572638054
126,0.001,5,6,0.0013190545740376493,0.0023286913347742313
127,0.001,5,7,0.00420421097758992,0.0019455571585249248
128,0.001,5,8,0.002639138348144366,0.0024012151152136966
129,0.001,5,9,0.0035918902566009154,0.0022592676528898265
130,0.001,6,0,0.0025537003194266153,0.009203366014783243
131,0.001,6,1,0.0025096226801827578,0.0018530030041430175
132,0.001,6,2,0.0021295454291558767,0.004587765581621704
133,0.001,6,3,0.0014217872793303055,0.0035342536506383125
134,0.001,6,4,0.0023233896334162746,0.008204560775461377
135,0.001,6,5,0.0015281407915025036,0.014671150299774031
136,0.001,6,6,0.0020931489598988895,0.004003643960122803
137,0.001,6,7,0.001907607399864596,0.0023622130876534042
138,0.001,6,8,0.0025016077326572564,0.004042388486285594
139,0.001,6,9,0.0031836356792372305,0.05381506159822042
140,0.001,7,0,0.0021970182511579246,0.004747406776906394
141,0.001,7,1,0.0018492583412608244,0.21357314214540746
142,0.001,7,2,0.0018388936133024903,0.0017618297396745394
143,0.001,7,3,0.002282363232846985,0.008364353740955136
144,0.001,7,4,0.0025327307034730367,0.0017136252617441805
145,0.001,7,5,0.0013355852886592272,0.00607133379387905
146,0.001,7,6,0.002923554710724451,0.0023543457761776004
147,0.001,7,7,0.002813920011169615,0.0023663038626307417
148,0.001,7,8,0.001966678911380573,0.006390564718549277
149,0.001,7,9,0.0031978241962519875,0.025244103551411743
150,0.001,8,0,0.0035383459199354707,0.0009653457378130184
151,0.001,8,1,0.0018149180238954555,0.00514663813624178
152,0.001,8,2,0.001512209320728619,0.0023616360724881586
153,0.001,8,3,0.0016091622420885655,0.00951510520107384
154,0.001,8,4,0.002669379971687155,0.0055654497591659715
155,0.001,8,5,0.0018244311823665676,0.0014842491320123622
156,0.001,8,6,0.0022360231173715445,0.002013198139174473
157,0.001,8,7,0.0018349630454695552,0.0036036242198045614
158,0.001,8,8,0.0016056852904771236,0.0057192743338518905
159,0.001,8,9,0.0034189627685827983,0.003891447153683269
160,0.01,1,0,0.0010823470429813357,0.0006761715729382605
161,0.01,1,1,0.0007046579859425444,0.0005287717911812057
162,0.01,1,2,0.0008878802867478025,0.0017394999080734255
163,0.01,1,3,0.0005900765890031104,0.0008005008895930871
164,0.01,1,4,0.001274242338978141,0.0005393587752658801
165,0.01,1,5,0.001498165415253462,0.001184195510102125
166,0.01,1,6,0.001086516520489826,0.00033087960322523047
167,0.01,1,7,0.0005354984018509393,0.0011883937139213446
168,0.01,1,8,0.0019667509540639413,0.0004747197977669971
169,0.01,1,9,0.0007646084433231786,0.00138927561088509
170,0.01,2,0,0.00167393229777224,0.001701068564407081
171,0.01,2,1,0.000529850383499775,0.0007724124703734353
172,0.01,2,2,0.0010481560429651195,0.001899133914043073
173,0.01,2,3,0.0024342864430903274,0.002213314814457247
174,0.01,2,4,0.001454231723476012,0.0018761264331704725
175,0.01,2,5,0.0020948411106225602,0.002235190782750837
176,0.01,2,6,0.0017914852765897316,0.002505807222761871
177,0.01,2,7,0.001480541964236978,0.001178806528657197
178,0.01,2,8,0.002543874847320739,0.039127729559287325
179,0.01,2,9,0.0015074887883079514,0.19620492060090153
180,0.01,3,0,0.0032390598455364745,0.001151071521492843
181,0.01,3,1,0.0018162812820097065,0.001556631543716917
182,0.01,3,2,0.0015645992343581818,0.0029729674976705692
183,0.01,3,3,0.0022248056090703313,0.0012257065538978046
184,0.01,3,4,0.0021595349107146194,0.09490911198057403
185,0.01,3,5,0.0021267485641889815,0.019402149083538406
186,0.01,3,6,0.002597398559616284,0.0016465697169033829
187,0.01,3,7,0.0029742191183368813,0.0015585022858470605
188,0.01,3,8,0.002173305022188569,0.0016593429516231636
189,0.01,3,9,0.0026117932265801087,0.002311319792079844
190,0.01,4,0,0.0011347426485099402,0.0015227769263175476
191,0.01,4,1,0.001440851533209474,0.0051766985457278565
192,0.01,4,2,0.002199853950389012,0.0026805208797381816
193,0.01,4,3,0.0023777439956742187,0.0025084521021213817
194,0.01,4,4,0.0029349198832831457,0.0013273562390866682
195,0.01,4,5,0.0024317515059404625,0.002803114240094519
196,0.01,4,6,0.0016317576032626108,0.0023374145203322403
197,0.01,4,7,0.002194950689332486,0.0019731262756799615
198,0.01,4,8,0.00270195085710195,0.0010358678758584615
199,0.01,4,9,0.0024234824327572587,0.004733988908954156
200,0.01,5,0,0.0033892515681431027,0.0028507889626157292
201,0.01,5,1,0.0030724186721305838,0.0006219943475745958
202,0.01,5,2,0.0019004088072501534,0.0009484715162480649
203,0.01,5,3,0.0022250770268898213,0.005572712348105466
204,0.01,5,4,0.0016528992060009225,0.003364951799858025
205,0.01,5,5,0.0009555980526113523,0.0028133459432551273
206,0.01,5,6,0.0013190545740376493,0.002783905665160628
207,0.01,5,7,0.00420421097758992,0.00469586802885045
208,0.01,5,8,0.002639138348144366,0.0019804194875516056
209,0.01,5,9,0.0035918902566009154,0.0029606793041542364
210,0.01,6,0,0.0025537003194266153,0.0023510005698313763
211,0.01,6,1,0.0025096226801827578,0.0014165195399245382
212,0.01,6,2,0.0021295454291558767,0.0021325763618829144
213,0.01,6,3,0.0014217872793303055,0.005823076849668061
214,0.01,6,4,0.0023233896334162746,0.0016774419920054242
215,0.01,6,5,0.0015281407915025036,0.00299118872182048
216,0.01,6,6,0.0020931489598988895,0.004930657539906045
217,0.01,6,7,0.001907607399864596,0.0019667467839142587
218,0.01,6,8,0.0025016077326572564,0.0282692267910551
219,0.01,6,9,0.0031836356792372305,0.00556010512066078
220,0.01,7,0,0.0021970182511579246,0.005122115243940031
221,0.01,7,1,0.0018492583412608244,0.004684565458953925
222,0.01,7,2,0.0018388936133024903,0.003940024466926723
223,0.01,7,3,0.002282363232846985,0.006702085263826769
224,0.01,7,4,0.0025327307034730367,0.002566151907039686
225,0.01,7,5,0.0013355852886592272,0.0028954449422577957
226,0.01,7,6,0.002923554710724451,0.0026455875432128025
227,0.01,7,7,0.002813920011169615,0.0017721482939087728
228,0.01,7,8,0.001966678911380573,0.0020732244424864566
229,0.01,7,9,0.0031978241962519875,0.02611963425877588
230,0.01,8,0,0.0035383459199354707,0.003838195763271244
231,0.01,8,1,0.0018149180238954555,0.0032288297618081703
232,0.01,8,2,0.001512209320728619,0.0017528497627940034
233,0.01,8,3,0.0016091622420885655,0.0017504714515136233
234,0.01,8,4,0.002669379971687155,0.0015799548609237049
235,0.01,8,5,0.0018244311823665676,0.006025254147160715
236,0.01,8,6,0.0022360231173715445,0.008289706605651863
237,0.01,8,7,0.0018349630454695552,0.0042679874753710255
238,0.01,8,8,0.0016056852904771236,0.0028464001818440847
239,0.01,8,9,0.0034189627685827983,0.0028303739707833176
240,0.1,1,0,0.0010823470429813357,0.0006537645840429194
241,0.1,1,1,0.0007046579859425444,0.0008174342652256686
242,0.1,1,2,0.0008878802867478025,0.0007671866092529996
243,0.1,1,3,0.0005900765890031104,0.00039178847214783326
244,0.1,1,4,0.001274242338978141,0.0010151425647220564
245,0.1,1,5,0.001498165415253462,0.0017183621656213946
246,0.1,1,6,0.001086516520489826,0.0011198864012232168
247,0.1,1,7,0.0005354984018509393,0.001050904251113506
248,0.1,1,8,0.0019667509540639413,0.0006643441314244584
249,0.1,1,9,0.0007646084433231786,0.0004757703702003794
250,0.1,2,0,0.00167393229777224,0.0014032948763519728
251,0.1,2,1,0.000529850383499775,0.001465905678918685
252,0.1,2,2,0.0010481560429651195,0.0019598839858265857
253,0.1,2,3,0.0024342864430903274,0.0014794477670590923
254,0.1,2,4,0.001454231723476012,0.0017172039801175553
255,0.1,2,5,0.0020948411106225602,0.0015743300584341695
256,0.1,2,6,0.0017914852765897316,0.001029492584203124
257,0.1,2,7,0.001480541964236978,0.0010210869028652939
258,0.1,2,8,0.002543874847320739,0.0014350037848845673
259,0.1,2,9,0.0015074887883079514,0.0022342851785720395
260,0.1,3,0,0.0032390598455364745,0.0041830624977395175
261,0.1,3,1,0.0018162812820097065,0.0016452161957267177
262,0.1,3,2,0.0015645992343581818,0.0017504976304245773
263,0.1,3,3,0.0022248056090703313,0.0026155093744038745
264,0.1,3,4,0.0021595349107146194,0.002324434428856373
265,0.1,3,5,0.0021267485641889815,0.0012320580642480787
266,0.1,3,6,0.002597398559616284,0.00266062216847945
267,0.1,3,7,0.0029742191183368813,0.001505121115300184
268,0.1,3,8,0.002173305022188569,0.0014912090872245113
269,0.1,3,9,0.0026117932265801087,0.0013924589078118676
270,0.1,4,0,0.0011347426485099402,0.0031185515665495293
271,0.1,4,1,0.001440851533209474,0.0013489210899232356
272,0.1,4,2,0.002199853950389012,0.002116862644100797
273,0.1,4,3,0.0023777439956742187,0.0018879589783692304
274,0.1,4,4,0.0029349198832831457,0.0008059228024410739
275,0.1,4,5,0.0024317515059404625,0.0016167765401727912
276,0.1,4,6,0.0016317576032626108,0.0013363857444962596
277,0.1,4,7,0.002194950689332486,0.001605481082652831
278,0.1,4,8,0.00270195085710195,0.002631623247752242
279,0.1,4,9,0.0024234824327572587,0.002652498307445211
280,0.1,5,0,0.0033892515681431027,0.0023735623558386793
281,0.1,5,1,0.0030724186721305838,0.002664083518548836
282,0.1,5,2,0.0019004088072501534,0.0017598717082162533
283,0.1,5,3,0.0022250770268898213,0.0027026421590551197
284,0.1,5,4,0.0016528992060009225,0.007306103215242836
285,0.1,5,5,0.0009555980526113523,0.0009028061742821803
286,0.1,5,6,0.0013190545740376493,0.002658615251249762
287,0.1,5,7,0.00420421097758992,0.0019102712553876354
288,0.1,5,8,0.002639138348144366,0.0012927271647822803
289,0.1,5,9,0.0035918902566009154,0.0015891238516556536
290,0.1,6,0,0.0025537003194266153,0.0019592853765673496
291,0.1,6,1,0.0025096226801827578,0.0024041780366254716
292,0.1,6,2,0.0021295454291558767,0.0015320856759573455
293,0.1,6,3,0.0014217872793303055,0.0033158748483025505
294,0.1,6,4,0.0023233896334162746,0.0011428319318219308
295,0.1,6,5,0.0015281407915025036,0.0024962990805556928
296,0.1,6,6,0.0020931489598988895,0.0013922502511092968
297,0.1,6,7,0.001907607399864596,0.003510901011542173
298,0.1,6,8,0.0025016077326572564,0.0035654431551260324
299,0.1,6,9,0.0031836356792372305,0.002099068689112466
300,0.1,7,0,0.0021970182511579246,0.0012691592345992113
301,0.1,7,1,0.0018492583412608244,0.001935512911635625
302,0.1,7,2,0.0018388936133024903,0.004404185736380827
303,0.1,7,3,0.002282363232846985,0.003965599650608586
304,0.1,7,4,0.0025327307034730367,0.001839032218073099
305,0.1,7,5,0.0013355852886592272,0.002542630356047604
306,0.1,7,6,0.002923554710724451,0.0013268089605476545
307,0.1,7,7,0.002813920011169615,0.003741510424656455
308,0.1,7,8,0.001966678911380573,0.001796186362582671
309,0.1,7,9,0.0031978241962519875,0.0011374976719734794
310,0.1,8,0,0.0035383459199354707,0.003417167756693484
311,0.1,8,1,0.0018149180238954555,0.005392705614024853
312,0.1,8,2,0.001512209320728619,0.0024640848660503444
313,0.1,8,3,0.0016091622420885655,0.003692447178240962
314,0.1,8,4,0.002669379971687155,0.002486059789754505
315,0.1,8,5,0.0018244311823665676,0.0050507007090186745
316,0.1,8,6,0.0022360231173715445,0.002063778695076001
317,0.1,8,7,0.0018349630454695552,0.002923143490464038
318,0.1,8,8,0.0016056852904771236,0.0009072441287280972
319,0.1,8,9,0.0034189627685827983,0.004636323899685214
320,1.0,1,0,0.0010823470429813357,0.0007405373117295789
321,1.0,1,1,0.0007046579859425444,0.0008542228671925143
322,1.0,1,2,0.0008878802867478025,0.0009165849161151693
323,1.0,1,3,0.0005900765890031104,0.0008282270611093206
324,1.0,1,4,0.001274242338978141,0.0007462073894417673
325,1.0,1,5,0.001498165415253462,0.0007436663238353812
326,1.0,1,6,0.001086516520489826,0.0007474447671552726
327,1.0,1,7,0.0005354984018509393,0.0008389807502714352
328,1.0,1,8,0.0019667509540639413,0.0009418318507609542
329,1.0,1,9,0.0007646084433231786,0.0004463493506427821
330,1.0,2,0,0.00167393229777224,0.0013865127368278064
331,1.0,2,1,0.000529850383499775,0.0019687519122692097
332,1.0,2,2,0.0010481560429651195,0.001659130401598965
333,1.0,2,3,0.0024342864430903274,0.0028911254001749765
334,1.0,2,4,0.001454231723476012,0.0014375642627758264
335,1.0,2,5,0.0020948411106225602,0.0015124191428285872
336,1.0,2,6,0.0017914852765897316,0.0012672366979272149
337,1.0,2,7,0.001480541964236978,0.0012616364957042491
