,iter,acc_pl,acc_prob
0,0,0.8048927767539001,0.5047888542240087
1,1,0.7401757831451022,0.5057230166105159
2,2,0.6913677954341605,0.5148869741540917
3,3,0.6500587783478476,0.5121671242914514
4,4,0.6130150180156466,0.5105275467810602
5,5,0.578521102089363,0.5090073319132988
6,6,0.5453692746257308,0.507547519408979
7,7,0.513567465676951,0.5103867645242213
8,8,0.4829700999523556,0.5087345834814927
9,9,0.4535956889747039,0.4997754411660133
10,10,0.4251701774414778,0.48679034574507096
11,11,0.3984168100937862,0.4742791838328861
12,12,0.37293488727826324,0.4690484261785589
13,13,0.3481007843221666,0.46821710282699613
14,14,0.324482462292907,0.46642550394054366
15,15,0.3019682175845102,0.46600907208725173
16,16,0.2802752001652523,0.48379687616612727
17,17,0.2598506959065266,0.4789719219320538
18,18,0.24047581492967957,0.47431574089274986
19,19,0.2220652336907586,0.46838142965735424
20,20,0.20483375540457138,0.47085165569326876
21,21,0.1886639052384463,0.46613629308950005
22,22,0.1737681799453294,0.4665451964794516
23,23,0.15990085624238895,0.45908527492069096
24,24,0.14714450416646063,0.4592196627986735
25,25,0.13525345995864055,0.45860421328492884
26,26,0.1243103061294704,0.4547614967044559
27,27,0.11437896090938209,0.45233057613577005
28,28,0.10497062742521467,0.4464903907336749
29,29,0.09632140749349695,0.4486093271461439
30,30,0.08841113843058176,0.44362871708796303
31,31,0.0814516623839304,0.4409078576863392
32,32,0.07512723492043198,0.4354039678769534
33,33,0.06918599832991039,0.43220195009714174
34,34,0.06378825434775863,0.4293548040659552
35,35,0.05897480294035265,0.4240067571268087
36,36,0.05452108058587739,0.4220409599513867
37,37,0.05048350349923457,0.4172758772546885
38,38,0.046740459033696766,0.41203290799389836
39,39,0.04321751576245021,0.41148522498944423
40,40,0.040177072558628533,0.4070541562739378
41,41,0.03737136151959586,0.4066145118093262
42,42,0.034743248260736104,0.4060007306265896
43,43,0.03235835218344517,0.39599298549583967
44,44,0.030089101628573384,0.3986494091116697
45,45,0.028037418290717563,0.39707509359817666
46,46,0.02620114351644217,0.3936713570998675
47,47,0.024507797869680926,0.3883728659703203
48,48,0.02293249553669615,0.38324807892032925
49,49,0.0214555910216186,0.3847911011990542
50,50,0.02012357393841263,0.3841163950229153
51,51,0.018953715777237763,0.38356119127077215
52,52,0.017840605126211478,0.37368383616002154
53,53,0.016810295308081927,0.3744045767071926
54,54,0.01589224614212437,0.3715876583429273
55,55,0.01498900870276622,0.37162106655394306
56,56,0.014132837236448252,0.37298065764150173
57,57,0.013323630556339321,0.37310132709556754
58,58,0.012601798347848981,0.36973225452614283
59,59,0.011892969429659476,0.37092303267565635
60,60,0.011273963306368559,0.3677277629837237
61,61,0.010701747532107415,0.36600568084849255
62,62,0.010166446985196333,0.36448892740161104
63,63,0.00965795408805372,0.36008595561275475
64,64,0.009190671937758653,0.3528795164671319
65,65,0.0087666220571677,0.35346595904228373
66,66,0.008348497200885404,0.355548377913898
67,67,0.007930102789188785,0.35108538858872973
68,68,0.007576739602063181,0.34974015290149413
69,69,0.007230808275212472,0.34742771277385176
70,70,0.006847531933370217,0.34941400284171986
71,71,0.006555007825996439,0.3440646248441832
72,72,0.006273254978929973,0.3332493008939948
73,73,0.006040540528357064,0.32541895076729427
74,74,0.005783373794901311,0.32524912858744365
75,75,0.005559331080695584,0.3172854581945847
76,76,0.005317870624399802,0.3212962500398533
77,77,0.0051056237902378085,0.3141404596881295
78,78,0.004938657239920014,0.31282615912963346
79,79,0.004761950631359168,0.3085860161458845
80,80,0.00459702200515874,0.30786933383093007
81,81,0.004416649258028694,0.30492974898048364
82,82,0.00426634202214193,0.3051927951073643
83,83,0.0041220826296235885,0.310586650265103
84,84,0.003988609241704424,0.3043198495717993
85,85,0.003846850425251472,0.3055323368749264
86,86,0.0036963583573442413,0.29942683975116907
87,87,0.0035806160032480086,0.30083869645412986
88,88,0.0034812786714386312,0.2976770094829225
89,89,0.0033677230463744555,0.29572615480493664
90,90,0.0032848123674224456,0.2907277766482722
91,91,0.003208242818687438,0.29016167565623197
92,92,0.0031017999082147973,0.2897377859741182
93,93,0.0030103191726279723,0.2890582434018987
94,94,0.0029168781324453207,0.28807095337210226
95,95,0.0028465380448178517,0.275687925709633
96,96,0.002778123495007223,0.2782333861505292
97,97,0.002706335833165849,0.2751133656775575
98,98,0.002642264094207695,0.26643577914418126
99,99,0.0026212613148491625,0.2641475346117255
100,100,0.002595031363367199,0.26183648102157975
101,101,0.002521944277378608,0.25868340387261657
102,102,0.0024902182912629523,0.2578210442363499
103,103,0.002429084874345997,0.2501304706766645
104,104,0.0023718281740669283,0.25321538929073134
105,105,0.0023042736102984202,0.2516282117003217
106,106,0.002243545135883015,0.24906786066340206
107,107,0.0022045578832195693,0.24745520205214513
108,108,0.0021679968815393703,0.24073661225879112
109,109,0.0021351413933419906,0.24060884832796584
110,110,0.0021055895600980722,0.24208621162341604
111,111,0.002079667477584066,0.23808481401471077
112,112,0.0020224281949088705,0.2358834396212231
113,113,0.0019869953521266664,0.23244805354668074
114,114,0.0019604915008529927,0.22707105402319452
115,115,0.001909540590411804,0.22538975650628207
116,116,0.0018831614510775843,0.22015710170097874
117,117,0.0018613130821164613,0.21651630928328688
118,118,0.001811941509295161,0.21506225414367552
119,119,0.0017935941847802223,0.2136582341907199
120,120,0.0017685511528695303,0.21645565917359155
121,121,0.0017459445559199066,0.21367544341996447
122,122,0.0017200086470754196,0.21173887672988467
123,123,0.0017160714122309382,0.20940230979771673
124,124,0.001688666685513951,0.20923105387076177
