,iter,acc_pl,acc_prob
0,0,0.9036686571802541,0.4562031326518012
1,1,0.8984352825765324,0.4219904116033776
2,2,0.8932232280584353,0.4192200884480895
3,3,0.8880268086102567,0.405196262741736
4,4,0.8829831101797869,0.39716421895032156
5,5,0.8780312640346393,0.3941585849043024
6,6,0.8731513992286064,0.39105544552931065
7,7,0.8682946108917617,0.3877142946459172
8,8,0.8635178059843823,0.384533442863852
9,9,0.8587575336543813,0.3808303227280995
10,10,0.8541051207969954,0.37592046572230114
11,11,0.8494227167281095,0.37184262661606915
12,12,0.8448039489841214,0.36540026026187555
13,13,0.8403182406011704,0.36341810038945926
14,14,0.8358571319910989,0.36206193235839634
15,15,0.8314630786812391,0.358004974139806
16,16,0.827133456146766,0.3557227019468302
17,17,0.8228997290487967,0.3514832907547651
18,18,0.8186715785302643,0.34944934523444227
19,19,0.8145344242224768,0.34880047399954117
20,20,0.8104936378777046,0.3440548591494686
21,21,0.8064223756633812,0.3406192841574378
22,22,0.8024195650981447,0.33995020356377453
23,23,0.798510962040886,0.33701557254816855
24,24,0.7946475598607667,0.330546297479358
25,25,0.7907171335638963,0.329032267068159
26,26,0.7869093077026698,0.32609879210175907
27,27,0.7831571514541535,0.32351147766871946
28,28,0.7794079857763444,0.3216127189836783
29,29,0.7757453044856675,0.3170761108812428
30,30,0.7721231881901642,0.3143236525947786
31,31,0.768549849736207,0.3117821376883277
32,32,0.7650442513215351,0.3102059019847574
33,33,0.7615782000636707,0.30731466737523977
34,34,0.758124664604014,0.303883851194632
35,35,0.7547696844039559,0.3004222151697669
36,36,0.7514406618924121,0.298477125657012
37,37,0.7480990361445581,0.2958085845165345
38,38,0.7447864877424197,0.2930626718732787
39,39,0.7415530203989256,0.291141539867622
40,40,0.7383161859375484,0.2891738788653901
41,41,0.7351190125920865,0.2822222009030965
42,42,0.7319522852093846,0.28066198633295525
43,43,0.728871502528121,0.27962339079673526
44,44,0.725794230339349,0.2786172325606599
45,45,0.7227197127502348,0.27499992603656986
46,46,0.7196900439474105,0.26995893030447066
47,47,0.71669826703296,0.26920517110002384
48,48,0.7137769852189243,0.2684093089058589
49,49,0.7108972307861128,0.2666678400166866
50,50,0.7080229127694266,0.2642231520495609
51,51,0.7051606314863192,0.2612941129314832
52,52,0.7022882647423139,0.2599169624745234
53,53,0.6995079384026609,0.25816918403793543
54,54,0.6967593328211362,0.2578831471589378
55,55,0.6940198296999814,0.2553120092149735
56,56,0.6913253864991027,0.2532069391649376
57,57,0.6886641024969143,0.2520178180210928
58,58,0.6860334008415933,0.24887560674472678
59,59,0.6834104480306971,0.24750401825904914
60,60,0.68088137401753,0.24544037043597355
61,61,0.6783187544213054,0.24221325907131905
62,62,0.6758355534095433,0.23924070042640205
63,63,0.6733477988526759,0.23689848849144535
64,64,0.6708782071140775,0.23554508130178078
65,65,0.6684486467621437,0.23113818780147147
66,66,0.6660199216821506,0.22623072806580083
67,67,0.6636102929944133,0.22471123852245575
68,68,0.6612195356983193,0.22287912786345215
69,69,0.6588434855249348,0.21960058794561294
70,70,0.6565380560082129,0.21673047023637934
71,71,0.6542558854003818,0.2131705761575137
72,72,0.6519783127056725,0.21226529388851578
73,73,0.6497041174061763,0.21143296817887233
74,74,0.647503144866557,0.2088453786983872
75,75,0.6453134855098673,0.20695053125712684
76,76,0.643089839341431,0.2039490524066976
77,77,0.6409380451736661,0.20058636504508942
78,78,0.6387949673022887,0.1969484388784425
79,79,0.6366817151963635,0.19524927952280108
80,80,0.6345672705354091,0.19498801965316154
81,81,0.6324681867298827,0.1933294956202703
82,82,0.6304002403108888,0.19156337103871013
83,83,0.6283561566141462,0.18937603138736891
84,84,0.6263333520638403,0.1873875456020335
85,85,0.6242887757428481,0.18574272827890986
86,86,0.6222824025713193,0.185196985679638
87,87,0.6203011824296137,0.18137863199187287
88,88,0.6183406098688359,0.17750365092419113
89,89,0.6163695686343956,0.17480161958890794
90,90,0.6144526967359395,0.1731922650275639
91,91,0.6125491774683701,0.17185879884562538
92,92,0.6106620603491301,0.16915706892459922
93,93,0.6088485556681815,0.1674389381496324
94,94,0.6069977276821505,0.16693463564705655
95,95,0.6051314357734388,0.16453855135448836
96,96,0.6033149500237741,0.16424176890904213
97,97,0.6015188731550087,0.16353668619343148
98,98,0.5997403897643254,0.16254410955694878
99,99,0.5979771318758008,0.16136240996721993
100,100,0.5962726959996982,0.15772999901249246
101,101,0.5945015034773645,0.1554636747631693
102,102,0.5927549441502958,0.15487577793196997
103,103,0.5909956668734431,0.1524772448295336
104,104,0.5893183909504457,0.15042317894809376
105,105,0.5876193833471041,0.14753341530870714
106,106,0.5859505881886364,0.14602351081649495
107,107,0.5843046657262044,0.14117362577060655
108,108,0.582652621132539,0.13859812528864177
109,109,0.5810168907717772,0.13712882133926635
110,110,0.5794159723577298,0.13708368587514907
111,111,0.5778077690632987,0.1350831975047854
112,112,0.5761737051197133,0.13380496936322422
113,113,0.574597647684315,0.13067206878646132
114,114,0.5730085903668894,0.12808906017342872
115,115,0.5714621160403315,0.12697629717941236
116,116,0.5699002514277016,0.1243959398738776
117,117,0.5683662769991313,0.12280583984826575
118,118,0.5668103246075595,0.12153606184607119
119,119,0.5653123441819373,0.11930576065355163
120,120,0.5638264921241748,0.11879512481699721
121,121,0.5623288326204942,0.11746898607768806
122,122,0.5608125410934406,0.11458398871167094
123,123,0.5593140703861543,0.11354886473407258
124,124,0.5578661373887999,0.11309358504537984
125,125,0.5563886823709795,0.11133511803724268
126,126,0.5549400763894835,0.11067478858314739
