,shots,ranks,acc_pl,acc_prob
99,143844,4,-10.002715457655425,-8.294070051765186
100,143844,5,-9.931824755223403,-8.352691375837038
101,143844,6,-10.025941563497641,-8.06597849876412
102,143844,7,-10.040995802428577,-8.852525766744769
103,143844,8,-10.028286907796973,-8.969015162260225
104,263665,1,-11.54897713316164,-8.127423629037681
105,263665,2,-11.071143121860462,-7.999659324655149
106,263665,3,-10.67468127348809,-7.748681435514757
107,263665,4,-10.589372113741039,-8.503987666282802
108,263665,5,-10.58108129401633,-8.104524473121485
109,263665,6,-10.662306262435406,-8.206991063008422
110,263665,7,-10.637742588658307,-8.846661072313433
111,263665,8,-10.618003189507634,-9.25312701559153
112,483293,1,-12.269494220277217,-8.227420751496764
113,483293,2,-11.616155088472324,-8.10391476569701
114,483293,3,-11.231558175177305,-8.065232383676438
115,483293,4,-11.178484386835642,-8.2318303081802
116,483293,5,-11.129064692009687,-8.174957384970966
117,483293,6,-11.245497743416996,-8.281264677960472
118,483293,7,-11.23663152582956,-8.587019298339952
119,483293,8,-11.309377368284041,-9.168690681196468
120,885866,1,-12.65820085392167,-8.361218687780191
121,885866,2,-12.143627320611966,-7.977307657956822
122,885866,3,-11.779272962573067,-7.7913805142483445
123,885866,4,-11.757257707435512,-8.183077847826668
124,885866,5,-11.671370822686402,-8.446981430906003
125,885866,6,-11.828226986856844,-7.992010863379896
126,885866,7,-11.836907538820101,-8.732190028632017
127,885866,8,-11.899095691445863,-9.396969008248915
128,1623776,1,-12.977496954386064,-8.486645328002767
129,1623776,2,-12.40517165313458,-8.16949368680672
130,1623776,3,-12.3011295601322,-7.857742729335748
131,1623776,4,-12.307240595012814,-8.225757730608228
132,1623776,5,-12.201564777331532,-8.1805780748474
133,1623776,6,-12.404735642462349,-8.25203209536413
134,1623776,7,-12.435298892484816,-8.546086863508126
135,1623776,8,-12.492811926890164,-9.369356997029216
136,2976351,1,-13.214650119186757,-9.086875019460528
137,2976351,2,-12.854664084242092,-7.906030375952555
138,2976351,3,-12.7801315381112,-7.975664230594585
139,2976351,4,-12.810902849982416,-8.529414111440765
140,2976351,5,-12.707639172063121,-8.216890765438874
141,2976351,6,-12.965097218167111,-8.246804038463365
142,2976351,7,-13.027482045685893,-8.415648354684263
143,2976351,8,-13.090314856344296,-9.457842651431573
144,5455594,1,-13.375705596986304,-8.200579305516337
145,5455594,2,-13.222264114841712,-7.89182352089173
146,5455594,3,-13.195540470846556,-7.927010181281444
147,5455594,4,-13.247226988982797,-8.221421807163406
148,5455594,5,-13.176475783940552,-8.164359331037733
149,5455594,6,-13.497797352707869,-8.41188317809536
150,5455594,7,-13.604321092361443,-8.655711981198962
151,5455594,8,-13.689731373494984,-9.495138692626288
152,10000000,1,-13.478763256842557,-8.414568791555551
153,10000000,2,-13.497439309006767,-8.037951897933127
154,10000000,3,-13.531888079639174,-7.94730441600112
155,10000000,4,-13.599707661375755,-8.237307945251192
156,10000000,5,-13.591273341140102,-8.254722729352002
157,10000000,6,-13.98502131052259,-8.152582177363625
158,10000000,7,-14.151043761966722,-8.577319824145881
159,10000000,8,-14.291486916913227,-9.392466483993196
