,prop,lambda,theta,sample,sample_avg,acc_mhs
157,normal_dep,1000.0,10.0,2,0.08828475617101667,0.08798259930248821
158,normal_dep,1000.0,10.0,3,0.08828475617101667,0.07751693478766654
159,normal_dep,1000.0,10.0,4,0.08828475617101667,0.15933743564762726
160,normal_dep,2000.0,1e-06,0,0.8905315026786687,0.8302187390599964
161,normal_dep,2000.0,1e-06,1,0.8905315026786687,0.9309275581687342
162,normal_dep,2000.0,1e-06,2,0.8905315026786687,0.9330159989404547
163,normal_dep,2000.0,1e-06,3,0.8905315026786687,0.9351245540877342
164,normal_dep,2000.0,1e-06,4,0.8905315026786687,0.8233706631364235
165,normal_dep,2000.0,1e-05,0,0.9342495397917412,0.9352061435522704
166,normal_dep,2000.0,1e-05,1,0.9342495397917412,0.9338383377301663
167,normal_dep,2000.0,1e-05,2,0.9342495397917412,0.9352061435522704
168,normal_dep,2000.0,1e-05,3,0.9342495397917412,0.9328174763307697
169,normal_dep,2000.0,1e-05,4,0.9342495397917412,0.9341795977932291
170,normal_dep,2000.0,0.0001,0,0.9351663329979232,0.9352061435522704
171,normal_dep,2000.0,0.0001,1,0.9351663329979232,0.9352061435522704
172,normal_dep,2000.0,0.0001,2,0.9351663329979232,0.9350070907805343
173,normal_dep,2000.0,0.0001,3,0.9351663329979232,0.9352061435522704
174,normal_dep,2000.0,0.0001,4,0.9351663329979232,0.9352061435522704
175,normal_dep,2000.0,0.001,0,0.186629153635186,0.15168767910465109
176,normal_dep,2000.0,0.001,1,0.186629153635186,0.1403015481831765
177,normal_dep,2000.0,0.001,2,0.186629153635186,0.21577458418101816
178,normal_dep,2000.0,0.001,3,0.186629153635186,0.15750483079600974
179,normal_dep,2000.0,0.001,4,0.186629153635186,0.2678771259110745
180,normal_dep,2000.0,0.01,0,0.10254966764152469,0.1524267781824006
181,normal_dep,2000.0,0.01,1,0.10254966764152469,0.07405028365847909
182,normal_dep,2000.0,0.01,2,0.10254966764152469,0.08988903567892004
183,normal_dep,2000.0,0.01,3,0.10254966764152469,0.1266804498310714
184,normal_dep,2000.0,0.01,4,0.10254966764152469,0.0697017908567523
185,normal_dep,2000.0,0.1,0,0.07041433469938736,0.08610489643168272
186,normal_dep,2000.0,0.1,1,0.07041433469938736,0.09354262057520465
187,normal_dep,2000.0,0.1,2,0.07041433469938736,0.06943845255093865
188,normal_dep,2000.0,0.1,3,0.07041433469938736,0.05376067022273825
189,normal_dep,2000.0,0.1,4,0.07041433469938736,0.04922503371637252
190,normal_dep,2000.0,1.0,0,0.08888753081431994,0.13282715314456717
191,normal_dep,2000.0,1.0,1,0.08888753081431994,0.12266516141941909
192,normal_dep,2000.0,1.0,2,0.08888753081431994,0.06471420737371328
193,normal_dep,2000.0,1.0,3,0.08888753081431994,0.059887420268697686
194,normal_dep,2000.0,1.0,4,0.08888753081431994,0.06434371186520248
195,normal_dep,2000.0,10.0,0,0.09023633270460953,0.14646169167160467
196,normal_dep,2000.0,10.0,1,0.09023633270460953,0.05176072007334256
197,normal_dep,2000.0,10.0,2,0.09023633270460953,0.056704620460378455
198,normal_dep,2000.0,10.0,3,0.09023633270460953,0.07650304283221654
199,normal_dep,2000.0,10.0,4,0.09023633270460953,0.11975158848550538
200,normal_dep,3000.0,1e-06,0,0.7428353813565678,0.7249898163003982
201,normal_dep,3000.0,1e-06,1,0.7428353813565678,0.69678426129052
202,normal_dep,3000.0,1e-06,2,0.7428353813565678,0.7631217293347115
203,normal_dep,3000.0,1e-06,3,0.7428353813565678,0.7836884822131058
204,normal_dep,3000.0,1e-06,4,0.7428353813565678,0.7455926176441036
205,normal_dep,3000.0,1e-05,0,0.5715635837643455,0.6093691717577692
206,normal_dep,3000.0,1e-05,1,0.5715635837643455,0.5239078576615176
207,normal_dep,3000.0,1e-05,2,0.5715635837643455,0.6081343514631166
208,normal_dep,3000.0,1e-05,3,0.5715635837643455,0.48557470412878406
209,normal_dep,3000.0,1e-05,4,0.5715635837643455,0.6308318338105403
210,normal_dep,3000.0,0.0001,0,0.36208957251387613,0.42608147216516323
211,normal_dep,3000.0,0.0001,1,0.36208957251387613,0.3627990856746497
212,normal_dep,3000.0,0.0001,2,0.36208957251387613,0.30859011065361946
213,normal_dep,3000.0,0.0001,3,0.36208957251387613,0.3282023515510062
214,normal_dep,3000.0,0.0001,4,0.36208957251387613,0.3847748425249422
215,normal_dep,3000.0,0.001,0,0.13315541870604722,0.19038063137702674
216,normal_dep,3000.0,0.001,1,0.13315541870604722,0.1007149728567108
217,normal_dep,3000.0,0.001,2,0.13315541870604722,0.09247654763740222
218,normal_dep,3000.0,0.001,3,0.13315541870604722,0.12380799571491488
219,normal_dep,3000.0,0.001,4,0.13315541870604722,0.15839694594418136
