,prop,coef,err,acc_rate
0,normal_dep,0.001,0.09677107950034687,245.4093333333333
1,normal_dep,0.01,0.20599187128647212,217.6626666666667
2,normal_dep,0.05,0.06282561276202199,116.228
3,normal_dep,0.1,0.05194323730320018,66.907
4,normal_dep,0.5,0.17011506523349051,14.339333333333334
5,normal_dep,1.0,0.165930989929823,7.214333333333333
6,normal_dep,10.0,0.16516364711344877,0.7713333333333333
7,exp_dep,0.001,0.9041498209271034,255.29933333333335
8,exp_dep,0.01,0.6403614670540857,253.75233333333335
9,exp_dep,0.05,0.5026291873065959,249.561
10,exp_dep,0.1,0.5014364576195345,248.206
11,exp_dep,0.5,0.48449887877380426,244.29533333333336
12,exp_dep,1.0,0.4879984540697821,243.03166666666667
13,exp_dep,10.0,0.42251987301278543,237.21633333333332
