iter,acc,times,type
1000,0.0017252214710743818,4.1823345410011825,pl
2000,0.0017048637079597048,7.768097653999575,pl
3000,0.0017247098061076089,12.711872183001105,pl
4000,0.001739801734979943,18.27638137899703,pl
5000,0.0017309948035145115,22.361626453002827,pl
6000,0.0017545599171184284,27.87256780000098,pl
1000,0.0024465136383614275,3.026593958002195,prob
2000,0.0016893790194346622,5.613265471998602,prob
3000,0.0017659719893903963,8.206045097998867,prob
4000,0.0019383400977216465,12.166952957999456,prob
5000,0.001955644319735899,15.26384526000038,prob
6000,0.0017884961605513382,19.54100949200074,prob
