shots,times,acc,type
100,7.940078599000117,0.2642982191214744,pl
200,7.7404156510019675,0.014814966254249363,pl
300,8.12594714199804,0.012255698911720568,pl
400,8.54073252499802,0.006164085980551622,pl
500,8.840202565999789,0.005331655396964136,pl
600,8.914660927999648,0.003134115299661903,pl
700,9.04622555899914,0.003422450813819385,pl
800,8.923589641002764,0.003095900118586977,pl
900,9.155576913999539,0.0037966439677314637,pl
1000,9.46521441600271,0.003173582943952165,pl
1100,9.990060287000233,0.0030697115860128777,pl
1200,11.24067170499984,0.002773704101842647,pl
1300,10.826512147999892,0.0031043388005535487,pl
1400,10.757604723999975,0.002290046828611113,pl
1500,10.77731356699951,0.002678117101627594,pl
1600,10.890876200999628,0.0023866022749765717,pl
1700,10.683969800000341,0.001341627459082867,pl
1800,10.89452394700129,0.0019973421325998127,pl
1900,10.805650506998063,0.0018949597201731803,pl
2000,10.643247799001983,0.0017048637079597048,pl
100,7.1818279740000435,0.0360470615779587,prob
200,5.422933010999259,0.011900496113909979,prob
300,5.941900082001666,0.010991732692258399,prob
400,6.077574293998623,0.003837044003494543,prob
500,6.81680133700138,0.002448443444022853,prob
600,6.606564378002076,0.0022680519403720113,prob
700,6.281980720999854,0.0019684802753199082,prob
800,6.7456526629976,0.0031548323038561856,prob
900,6.767145977002656,0.002272477969691325,prob
1000,6.663643357998808,0.0019414244755883911,prob
1100,6.863265907999448,0.0034245816866972614,prob
1200,7.8440209300024435,0.0028497760999721903,prob
1300,7.930694595001114,0.0035778947735095727,prob
1400,8.18678288600131,0.002430450762956242,prob
1500,7.899399680001807,0.001876257268616354,prob
1600,7.823170931998902,0.002136148907645248,prob
1700,7.937183353002183,0.002145735208779021,prob
1800,8.035625124000944,0.002271294529940007,prob
1900,8.112956859997212,0.002175670404162548,prob
2000,7.86480944500363,0.0016893790194346622,prob
