iter,acc,times,type
100,0.0027778195033846026,0.5408187899993209,pl
200,0.001736902181340895,1.0631657630001428,pl
300,0.0017304651459825384,1.5499100670022017,pl
400,0.0017287799657147737,1.982727533999423,pl
500,0.0017268341857548612,2.3715527700005623,pl
600,0.001729907022150271,2.8802105600007053,pl
700,0.0017371938683563941,3.5229101909972087,pl
800,0.0017532263181759306,3.6387525940008345,pl
900,0.0017327689371187042,4.088718078000966,pl
1000,0.0017252214710743818,4.364103524996608,pl
1100,0.0017392435270606236,4.904397148002317,pl
1200,0.0017343007702278854,5.419591500998649,pl
1300,0.0017541675363836353,6.207136528999399,pl
1400,0.0017102964173444253,6.266529944001377,pl
1500,0.0016910842149896665,6.698730529002205,pl
1600,0.0017149269451443882,7.328561098998762,pl
1700,0.0016913660967808474,8.146335609999369,pl
1800,0.001759230630856381,10.77006817200163,pl
1900,0.0017093585201985485,11.104919209999935,pl
2000,0.0017048637079597048,11.195327183999325,pl
100,0.0034544507609998846,0.8297123980009928,prob
200,0.0029033688630142446,1.1299935370007006,prob
300,0.002766780830422498,1.3572235579995322,prob
400,0.0028275558312463884,1.612828992998402,prob
500,0.0028288594189702938,2.0451808920006442,prob
600,0.0026670187823061653,2.3311427360022208,prob
700,0.0026306915673086537,2.49248505200012,prob
800,0.0026043673848084527,2.8091130540015,prob
900,0.0025020009262593512,3.0528285060026974,prob
1000,0.0024465136383614275,3.5046852429986757,prob
1100,0.002430564091517836,3.6293079710012535,prob
1200,0.0024372574031216163,3.8905285479995655,prob
1300,0.00234230977229894,4.393551185999968,prob
1400,0.00227559696689166,4.523335440997471,prob
1500,0.0022118453458646135,4.909572796001157,prob
1600,0.002092780122336605,5.3926661430014065,prob
1700,0.0019458040072469727,5.996325236999837,prob
1800,0.0018258183140088353,9.614045374000852,prob
1900,0.0017285754902354937,8.014908650999132,prob
2000,0.0016893790194346622,8.078329898999073,prob
