,shots,acc_pl,acc_prob,acc_mhs
0,100,0.008498265953716246,0.018654423328399374,0.5036117249517974
1,183,0.007149524218895287,0.015577517649468154,0.4160581110410597
2,335,0.0077275346862244266,0.006449899491369539,0.3617503297272479
3,615,0.0051925009817445755,0.005513926566988718,0.7035197239851964
4,1128,0.0017387804479122228,0.0025000059073871424,0.41437127255352835
5,2069,0.0010873036421095899,0.0013732010650073837,0.3129667605383329
6,3792,0.0004230688307116839,0.0004675498920865253,0.37423180415276924
7,6951,0.0002661174697957235,0.00040997323196590276,0.37671253696598467
8,12742,0.000161507770129429,0.0001608320011132677,0.4922614383450963
9,23357,6.909048689994772e-05,0.00012535656269220354,0.47676580409690467
10,42813,2.4110350032987666e-05,8.945426064938748e-05,0.39043370037978187
11,78475,2.7654022688374044e-05,0.00014843964106801757,0.3533777805454216
12,143844,1.2831242616065943e-05,7.384482217037043e-05,0.43990391282349317
13,263665,1.0846534005526773e-05,0.0003417480873227076,0.7690505207979544
14,483293,5.803787785179678e-06,0.00014010995770047664,0.28068247042619787
15,885866,2.80585470321198e-06,6.533761123799199e-05,0.470885675951549
16,1623776,1.143099436997384e-06,0.00018972971415906362,0.5052489135907935
17,2976351,1.6060936704714681e-06,0.00011739055345209503,0.5255068666497197
18,5455594,7.727068152349229e-07,0.00016462044396418796,0.3210315882425923
19,10000000,6.11527257757786e-07,0.0001128089589963942,0.46421755897639183
