,n_burnin,acc_pl,acc_prob
0,100,0.001725150963352727,0.0017292240998715233
1,400,0.0017245712563500738,0.001734191799546325
2,700,0.0017244826566178092,0.0017361551761638325
3,1000,0.001725031953168973,0.001733219231895338
4,1300,0.0017257522347580584,0.0017180325867208013
5,1600,0.0017253179466774685,0.0017220217016922562
6,1900,0.0017255106399235943,0.0017171244050559115
7,2200,0.0017253264725267288,0.0017341598239014235
8,2500,0.0017244020994729007,0.0017302689381997337
9,2800,0.0017243350837180778,0.0017248088637866984
10,3100,0.0017247408427591494,0.0017189653352508059
11,3400,0.0017246267404448096,0.0017186583229946166
12,3700,0.0017241011625662376,0.0017285395016558268
13,4000,0.0017250723040765498,0.0017340029491020668
14,4300,0.0017249495272117223,0.0017245667714219123
15,4600,0.0017250436447514062,0.001718644018797349
16,4900,0.0017250636519615366,0.001706444037426338
17,5200,0.0017255040915965937,0.001719098089935809
18,5500,0.00172527902611012,0.0017101018109606243
19,5800,0.0017253792786518722,0.001693517020216357
