,iter,sample,acc_prob,acc_pl,acc_mhgs
0,0,0,1.7017713876129914,0.9352061435522717,0.9221822447849526
1,0,1,1.6244125464328973,0.5262574621916244,0.5132883721962537
2,0,2,1.491122293788822,0.7074070102940065,0.7085226602596196
3,1,0,0.5475318180373209,0.5834610555917665,0.8844040635102959
4,1,1,0.4733254384655645,0.39502104269167637,0.5098475172403485
5,1,2,0.4769037051340372,0.4699499329854596,0.6968269166184805
6,2,0,0.544108354961125,0.5260571265038574,0.8716738712591279
7,2,1,0.44677767731961104,0.32858800650427666,0.500962846443128
8,2,2,0.48523270152918374,0.4145202820967126,0.6817459039241525
9,3,0,0.5287508648620494,0.46714569363305963,0.8491758789515138
10,3,1,0.43437216624593245,0.27319704311252896,0.4964173084433753
11,3,2,0.4866393500147813,0.36599538479363025,0.6702011874608942
12,4,0,0.524474518379637,0.39880546196357297,0.8324473110181513
13,4,1,0.4209390043935751,0.22327843635132044,0.49288342644601796
14,4,2,0.48604069828708696,0.3161616023307322,0.6582403792653774
15,5,0,0.5224378391701188,0.3274479102690897,0.8297838453944952
16,5,1,0.4002631610995057,0.18254012808981485,0.4873780853883709
17,5,2,0.4801950773962527,0.2644965206117893,0.642137698083101
18,6,0,0.4813984764448867,0.2595322602217277,0.8124430388887744
19,6,1,0.4019795917778241,0.146313241312053,0.48083556382226517
20,6,2,0.47837643639986405,0.2168212609033491,0.634835692267694
21,7,0,0.4692015133927722,0.19642344490595515,0.8075133591854808
22,7,1,0.3855076502182132,0.11671427951735981,0.4820739140555802
23,7,2,0.48070147151773346,0.16968366845238314,0.6284120066463791
24,8,0,0.45761214944447526,0.1421059368803554,0.7905872649856518
25,8,1,0.3798283748533104,0.09248666355094978,0.4823326664498775
26,8,2,0.4807827293059688,0.129658968469801,0.6233153821845158
27,9,0,0.4495854146657576,0.09955284398752823,0.7786552799989265
28,9,1,0.36215398957521283,0.07259451175707735,0.4758926635837715
29,9,2,0.4752999499371957,0.09766714032055829,0.6171099231737067
30,10,0,0.4453697283846499,0.07008517883723946,0.7704372038633238
31,10,1,0.3493495108190779,0.05695943722635974,0.4749432854383224
32,10,2,0.46592183967192324,0.07519076534881491,0.6154393275117515
33,11,0,0.4310307904390291,0.05088906342943746,0.770546088473955
34,11,1,0.34690866057476816,0.045046166405225706,0.473496270227186
35,11,2,0.4635603707350519,0.056519677553340184,0.5996809459576733
36,12,0,0.4351478890971664,0.037733496486748924,0.776515235490174
37,12,1,0.34989960690094424,0.0360579493505217,0.4649513990876457
38,12,2,0.4573047735991961,0.04441966609093016,0.5887256601791778
39,13,0,0.4328112585291755,0.02886273454766169,0.7546838671253029
40,13,1,0.346480207230492,0.02919643893667258,0.46776626494948875
41,13,2,0.4526983984848293,0.03515212601274965,0.5753102288196188
42,14,0,0.425365748287954,0.02304634156675821,0.7419707259836759
43,14,1,0.36908929753569925,0.023933063318205296,0.46406242877940357
44,14,2,0.4488357240548159,0.028333757897969634,0.5718323760404379
45,15,0,0.4209754764762413,0.018638824070452805,0.7431873881720407
46,15,1,0.3624563803057707,0.019787849325735633,0.4672742246951497
47,15,2,0.4459442102594297,0.022953915952283886,0.5639501250610595
48,16,0,0.4166638599445827,0.015028554434346777,0.7368855519319872
49,16,1,0.3621715452858925,0.01653247664030896,0.4629058287671487
50,16,2,0.44618047220568613,0.018911251705088214,0.5596730333345662
51,17,0,0.42903218732555787,0.012524163266737403,0.7405919196023458
52,17,1,0.36176899051686334,0.013528727665948447,0.4605374220513296
53,17,2,0.4401753120562863,0.015428785516331905,0.5625095172922108
54,18,0,0.4381514711605591,0.010014915742315304,0.7283859473805797
55,18,1,0.35083456063709295,0.01137394024787408,0.4537526288383977
56,18,2,0.4254983397866869,0.013165428341713808,0.5640418146175493
57,19,0,0.4363971760600076,0.008461014221872962,0.7110447438371504
58,19,1,0.3417173418624243,0.009361385136040226,0.4459923856882431
59,19,2,0.41643163598129107,0.011276344050626799,0.5576890963276528
60,20,0,0.4276692521344652,0.007003663126295073,0.6940128694318046
61,20,1,0.32820051478571965,0.007911236128758993,0.45447717182262864
62,20,2,0.41766557912022984,0.010071767262631592,0.5556754017547461
63,21,0,0.41370471740389064,0.006215117372591467,0.6921662832623989
64,21,1,0.32933754625531747,0.006951931197491944,0.45162233014701175
65,21,2,0.40852615154695376,0.008635227447272084,0.5552920583279511
66,22,0,0.41134395089009024,0.005526586889185262,0.6870916575675177
67,22,1,0.3252432055370845,0.005865756448938745,0.4451944694297979
68,22,2,0.404392669506277,0.007297591682687572,0.5534576484964783
69,23,0,0.4029869617944993,0.004993209640800118,0.6881437322191397
70,23,1,0.31893647237901707,0.005071278278934004,0.43335866742677775
71,23,2,0.3973232572652095,0.006586489260143101,0.5547942038504385
72,24,0,0.40575039099242866,0.004270987740939983,0.6965990741981964
73,24,1,0.31664422372245643,0.004311915365106122,0.43764913428209734
74,24,2,0.39064586381496996,0.005932975259703139,0.556802520361984
75,25,0,0.40482381900528963,0.003799606339746688,0.6918032133818004
76,25,1,0.31818457215835283,0.003756475240986698,0.43805507809646255
77,25,2,0.383471989294049,0.005074987587589355,0.5488154124890856
78,26,0,0.4004727459015816,0.003648501530430072,0.6894740055106037
79,26,1,0.3145536648955704,0.0034560099091587772,0.4425859236215537
80,26,2,0.38297292773054836,0.0044950249790344805,0.5308141531838165
81,27,0,0.3925068433014964,0.00327956130267364,0.6962498715083483
82,27,1,0.3133155726300658,0.003146812546543145,0.442361188067664
83,27,2,0.3840187159790666,0.003946909770075018,0.5266017242090989
84,28,0,0.38567455118841937,0.0031301458513906142,0.6986677839809757
85,28,1,0.3077296354022365,0.0028304148750133915,0.44364010545302934
