,shots,acc_pl,acc_prob
0,100,0.008805690375848586,0.018654423328399374
1,183,0.3307071373143966,0.015577517649468154
2,335,0.007770330215206368,0.006449899491369539
3,615,0.005277692476416355,0.005513926566988718
4,1128,0.001739357291509465,0.0025000059073871424
5,2069,0.0010716121550564104,0.0013732010650073837
6,3792,0.0004424207055789316,0.0004675498920865253
7,6951,0.00025578080330989717,0.00040997323196590276
8,12742,0.0001620427423460004,0.0001608320011132677
9,23357,7.15592999013178e-05,0.00012535656269220354
10,42813,2.472650494301368e-05,8.945426064938748e-05
11,78475,2.7790276780320983e-05,0.00014843964106801757
12,143844,1.3400574367431196e-05,7.384482217037043e-05
13,263665,1.086498267416914e-05,0.0003417480873227076
14,483293,5.8972584070048745e-06,0.00014010995770047664
15,885866,2.7876384401393868e-06,6.533761123799199e-05
16,1623776,1.2255481281756124e-06,0.00018972971415906362
17,2976351,1.4650777540475536e-06,0.00011739055345209503
18,5455594,7.591727416407914e-07,0.00016462044396418796
19,10000000,5.553163852237759e-07,0.0001128089589963942
