,d,samples,acc_prob,acc_pl
0,1,0,0.00228399210729974,0.0009820140199426318
1,1,1,0.0016777753278133939,0.0006906874490733968
2,1,2,0.0018439057859967105,0.0007592922890089968
3,1,3,0.0018733679462886207,0.0007112359808265415
4,1,4,0.002333349122170123,0.0012611214670494371
5,1,5,0.0020868600485829756,0.0011481028657304498
6,1,6,0.0022120940891116802,0.0010902636635781626
7,1,7,0.0024082546231746255,0.0013110934764162987
8,3,0,0.003243075230036656,0.0031312372348249644
9,3,1,0.0036417348292281802,0.0029495733745141337
10,3,2,0.00207372117494778,0.002882023852840729
11,3,3,0.002756780772660002,0.0022608579310251773
12,3,4,0.0030722182094229467,0.00280563073026647
13,3,5,0.002739336224903393,0.0025333234874827795
14,3,6,0.0031077407482402323,0.003061319271513057
15,3,7,0.003647360957164774,0.0028172484125418653
16,5,0,0.004213053962847803,0.005256655924289667
17,5,1,0.002527626823671469,0.0036340638320372927
18,5,2,0.0026797597117667574,0.004145734185021428
19,5,3,0.0039154701555230735,0.004709393240697384
20,5,4,0.0034796747562641796,0.003948142130566885
21,5,5,0.0029544366415637227,0.0041887281570983
22,5,6,0.001945331493928283,0.003558651998307535
23,5,7,0.0023691552630125718,0.0035403361545723465
24,7,0,0.003432322212221515,0.00455767099841906
25,7,1,0.004529751230938879,0.0055056883011002054
26,7,2,0.004006294015734686,0.0053904537112774665
27,7,3,0.0025806481067737383,0.004466955712008962
28,7,4,0.00230439029566736,0.003937743270286674
29,7,5,0.00373961686831318,0.005146616121930421
30,7,6,0.0029228011813835345,0.005161361963836005
31,7,7,0.0037846926127456056,0.005518311340156347
32,9,0,0.0046013969442535475,0.005604591751558577
33,9,1,0.0031820495362926793,0.0042111396576129225
34,9,2,0.004122770682946509,0.0056744503525087905
35,9,3,0.003731419509293888,0.005442134084212485
36,9,4,0.0017138321640691484,0.0035864826005212076
37,9,5,0.003489997021347479,0.005274838184854478
38,9,6,0.005065247866794032,0.006335544217923301
39,9,7,0.0032885717287049012,0.004339467306423563
40,11,0,0.002415938935869208,0.005060825994994597
41,11,1,0.0037397503531153976,0.004949871701134259
42,11,2,0.002374912692759147,0.00451529665114951
43,11,3,0.0016304865210775043,0.003353400703555026
44,11,4,0.0035610525068132774,0.005120028381398466
45,11,5,0.0031120287059354236,0.004724747312214637
46,11,6,0.0032036510748802683,0.005451297201284879
47,11,7,0.003445323239115347,0.005201906715735633
48,13,0,0.003971785251062068,0.004602665172865339
49,13,1,0.002636061148843524,0.0041768816653492075
50,13,2,0.003831206701426357,0.004859619697581884
51,13,3,0.003185531495130746,0.0045380160434066105
52,13,4,0.0025278547582021516,0.00414526130695277
53,13,5,0.0020785228454040976,0.004332727271627502
54,13,6,0.003538361121009525,0.00503962750611594
55,13,7,0.00460906720560788,0.006227598787614099
56,15,0,0.0034179919530307563,0.004835854880960636
57,15,1,0.0036093859646772254,0.005524504440948672
58,15,2,0.002385037832657878,0.0033828786768108528
59,15,3,0.0027955092118452517,0.004474001326537991
60,15,4,0.002174899460666763,0.004374862629823866
61,15,5,0.003425998403049249,0.004649605593578994
62,15,6,0.007128154009136025,0.007190136050309523
63,15,7,0.002831813581770754,0.004546644913195906
