,theta,d,samples,acc_prob,acc_pl
116,0.001,4,6,0.0015754941009925615,0.0014504168219527192
117,0.001,4,7,0.002025750396113663,0.0019285665937948892
118,0.001,4,8,0.002591484810981555,0.0014025395583348223
119,0.001,4,9,0.0026824117533733277,0.0011421705011840462
120,0.001,5,0,0.0038543656409292673,0.0020655442112039097
121,0.001,5,1,0.0029222902233347688,0.002690406953844171
122,0.001,5,2,0.0020449807418985518,0.003977715881526533
123,0.001,5,3,0.0016166711096890676,0.0011878238133170903
124,0.001,5,4,0.0019594281645569102,0.00708870851271436
125,0.001,5,5,0.0009402770363113114,0.00905005143553604
126,0.001,5,6,0.0012537361598884238,0.01854350762939055
127,0.001,5,7,0.0040886055596262745,0.00192311929129526
128,0.001,5,8,0.002706400458845055,0.002404222529057677
129,0.001,5,9,0.003814972992145044,0.0022343253530133786
130,0.001,6,0,0.0025774466196024624,0.014555504873121728
131,0.001,6,1,0.002442957220795282,0.0018445288002791693
132,0.001,6,2,0.0022197255833304582,0.004851079477227997
133,0.001,6,3,0.001338356839593174,0.0035287536184559092
134,0.001,6,4,0.0019143410672422087,0.005170393923252619
135,0.001,6,5,0.0014994974176105048,0.00885841574473716
136,0.001,6,6,0.002046732866673466,0.003965309018485664
137,0.001,6,7,0.001983288146485884,0.0024151175018116908
138,0.001,6,8,0.0026185077320813608,0.007941981225759622
139,0.001,6,9,0.00305859017209975,0.006562846221182633
140,0.001,7,0,0.0024200125644996536,0.007111001177983819
141,0.001,7,1,0.0022201104755577234,0.003072248210088105
142,0.001,7,2,0.0017579295181490914,0.0017958421312631566
143,0.001,7,3,0.002294777665470807,0.008354370773952792
144,0.001,7,4,0.002376953419260543,0.0017904096772412238
145,0.001,7,5,0.0013600639931553255,0.0032966994643388635
146,0.001,7,6,0.0026223033713799787,0.0023592141600438025
147,0.001,7,7,0.0030032487270816297,0.002365353087052252
148,0.001,7,8,0.0020603156798604267,0.006362143039322559
149,0.001,7,9,0.00339373506043375,0.002470403200967349
150,0.001,8,0,0.003640134855987348,0.0009668477181151167
151,0.001,8,1,0.0019913565505861193,0.005134666119531323
152,0.001,8,2,0.0017898420951330434,0.004512550579453271
153,0.001,8,3,0.0017100016665163502,0.0025035957506368204
154,0.001,8,4,0.002663147638037803,0.0032638438744045806
155,0.001,8,5,0.002117073472113846,0.001491980882530111
156,0.001,8,6,0.0024648177380239855,0.002043457339273771
157,0.001,8,7,0.002096723854944895,0.030674511854123395
158,0.001,8,8,0.0013581514533012031,0.005695748136547441
159,0.001,8,9,0.0034254893443617157,0.003893940593162949
160,0.01,1,0,0.0008827267116716342,0.0006791069295137987
161,0.01,1,1,0.0008240709117283124,0.0005360859704127769
162,0.01,1,2,0.0009593273068882449,0.0017423884151918686
163,0.01,1,3,0.0007721311062151551,0.0008009195343103472
164,0.01,1,4,0.0015385699562915933,0.0005315340436416702
165,0.01,1,5,0.0014664200070427008,0.0011789732147341652
166,0.01,1,6,0.0010417653867478085,0.00033052925855894875
167,0.01,1,7,0.0008132775380282041,0.0011882367139860012
168,0.01,1,8,0.0019377852126716373,0.00046835870605845974
169,0.01,1,9,0.00112898137755925,0.0013746418610383472
170,0.01,2,0,0.0015930884156382403,0.0016915287160597621
171,0.01,2,1,0.0003416115917001201,0.0007736731667025875
172,0.01,2,2,0.0010347024160360443,0.005221371128318198
173,0.01,2,3,0.0022904116516950113,0.002181464252325268
174,0.01,2,4,0.0014014540371648575,0.0018806003021232113
175,0.01,2,5,0.002450530897604141,0.002230766756073909
176,0.01,2,6,0.001789204514719292,0.0025107605021456236
177,0.01,2,7,0.0013575679069765007,0.0011859429559969653
178,0.01,2,8,0.002621950141713446,0.0013560507968516972
